round,seq_num,is_outage,folder,crop_index,label,send_timestamp
47,143722,0,normal,807,2,1782360354.9128268
47,143723,0,normal,192,0,1782360354.914821
47,143724,0,normal,202,0,1782360354.9168162
47,143725,0,normal,1260,0,1782360354.9189346
47,143726,0,normal,262,0,1782360354.9209793
47,143727,0,normal,3081,1,1782360354.9231007
47,143728,0,normal,792,2,1782360354.9250467
47,143729,0,normal,1752,0,1782360354.9267993
47,143730,0,normal,2688,0,1782360354.9288785
47,143731,0,normal,1534,0,1782360354.9308286
47,143732,0,normal,974,2,1782360354.9328916
47,143733,0,normal,954,2,1782360354.9348967
47,143734,0,normal,686,0,1782360354.9368603
47,143735,0,normal,1005,2,1782360354.9388459
47,143736,0,normal,2626,0,1782360354.940857
47,143737,0,normal,1484,0,1782360354.9428484
47,143738,0,normal,832,2,1782360354.9449375
47,143739,0,normal,1441,0,1782360354.9468226
47,143740,0,normal,1073,0,1782360354.948867
47,143741,0,normal,37,0,1782360354.9508133
47,143742,0,normal,358,0,1782360354.9528074
47,143743,0,normal,2863,0,1782360354.9548724
47,143744,0,normal,3578,0,1782360354.956821
47,143745,0,normal,2010,0,1782360354.9588704
47,143746,0,normal,3555,0,1782360354.9608247
47,143747,0,normal,2777,0,1782360354.9628673
47,143748,0,normal,253,0,1782360354.9648342
47,143749,0,normal,837,2,1782360354.9670365
47,143750,0,normal,3310,1,1782360354.9688299
47,143751,0,normal,13,0,1782360354.970831
47,143752,0,normal,1439,0,1782360354.9728658
47,143753,0,normal,272,0,1782360354.9748383
47,143754,0,normal,2268,0,1782360354.976865
47,143755,0,normal,3105,1,1782360354.9788132
47,143756,0,normal,1056,0,1782360354.9808333
47,143757,0,normal,88,0,1782360354.9828691
47,143758,0,normal,943,2,1782360354.984844
47,143759,0,normal,2851,0,1782360354.9868677
47,143760,0,normal,2769,0,1782360354.9888675
47,143761,0,normal,1093,0,1782360354.9907913
47,143762,0,normal,3312,1,1782360354.9928446
47,143763,0,normal,2085,0,1782360354.9948208
47,143764,0,normal,2281,0,1782360354.9968448
47,143765,0,normal,1125,0,1782360354.9987988
47,143766,0,normal,1687,0,1782360355.0008156
47,143767,0,normal,2884,0,1782360355.0028527
47,143768,0,normal,3148,1,1782360355.0048182
47,143769,0,normal,2870,0,1782360355.0068388
47,143770,0,normal,451,0,1782360355.008865
47,143771,0,normal,2055,0,1782360355.0108347
48,143772,0,normal,933,2,1782360389.6599956
48,143773,0,normal,3461,0,1782360389.6619208
48,143774,0,normal,697,0,1782360389.6639392
48,143775,0,normal,3259,1,1782360389.6659238
48,143776,0,normal,1349,1,1782360389.6679294
48,143777,0,normal,2311,0,1782360389.6699336
48,143778,0,normal,2760,0,1782360389.6719291
48,143779,0,normal,3699,0,1782360389.6739357
48,143780,0,normal,2989,0,1782360389.6759362
48,143781,0,normal,2986,0,1782360389.6779325
48,143782,0,normal,527,0,1782360389.6799724
48,143783,0,normal,1527,0,1782360389.6819594
48,143784,0,normal,1595,0,1782360389.6839383
48,143785,0,normal,1392,0,1782360389.685982
48,143786,0,normal,1410,0,1782360389.6879468
48,143787,0,normal,3544,0,1782360389.6899827
48,143788,0,normal,935,2,1782360389.691969
48,143789,0,normal,1824,0,1782360389.6940086
48,143790,0,normal,573,0,1782360389.6959245
48,143791,0,normal,3589,0,1782360389.6980186
48,143792,0,normal,3200,1,1782360389.6999424
48,143793,0,normal,3193,1,1782360389.7019353
48,143794,0,normal,1420,0,1782360389.7039914
48,143795,0,normal,2001,0,1782360389.7059238
48,143796,0,normal,1493,0,1782360389.7079895
48,143797,0,normal,2220,0,1782360389.7099802
48,143798,0,normal,3150,1,1782360389.7120183
48,143799,0,normal,2537,0,1782360389.713999
48,143800,0,normal,3658,0,1782360389.716004
48,143801,0,normal,1852,0,1782360389.7180774
48,143802,0,normal,3567,0,1782360389.7200012
48,143803,0,normal,1876,0,1782360389.72209
48,143804,0,normal,469,0,1782360389.7241023
48,143805,0,normal,3267,1,1782360389.7260022
48,143806,0,normal,965,2,1782360389.7281034
48,143807,0,normal,1523,0,1782360389.7300944
48,143808,0,normal,3281,1,1782360389.732008
48,143809,0,normal,670,0,1782360389.7341163
48,143810,0,normal,2717,0,1782360389.736098
48,143811,0,normal,1266,0,1782360389.7379847
48,143812,0,normal,1525,0,1782360389.740097
48,143813,0,normal,3548,0,1782360389.7420826
48,143814,0,normal,2094,0,1782360389.7439852
48,143815,0,normal,3578,0,1782360389.7460918
48,143816,0,normal,321,0,1782360389.748092
48,143817,0,normal,1670,0,1782360389.7499845
48,143818,0,normal,1002,2,1782360389.752092
48,143819,0,normal,1116,0,1782360389.7541285
48,143820,0,normal,445,0,1782360389.7559822
48,143821,0,normal,3330,1,1782360389.7580924
48,143822,0,normal,141,0,1782360389.7600832
48,143823,0,normal,1823,0,1782360389.761995
48,143824,0,normal,21,0,1782360389.7640917
48,143825,0,normal,293,0,1782360389.7660985
48,143826,0,normal,3118,1,1782360389.7679944
48,143827,0,normal,3367,1,1782360389.7700891
48,143828,0,normal,567,0,1782360389.7720952
48,143829,0,normal,164,0,1782360389.7739944
48,143830,0,normal,314,0,1782360389.776094
48,143831,0,normal,2532,0,1782360389.7780912
48,143832,0,normal,760,0,1782360389.7799926
48,143833,0,normal,220,0,1782360389.7821655
48,143834,0,normal,2250,0,1782360389.7840993
48,143835,0,normal,2215,0,1782360389.786259
48,143836,0,normal,2391,0,1782360389.7880213
48,143837,0,normal,2217,0,1782360389.7900746
48,143838,0,normal,1428,0,1782360389.791971
48,143839,0,normal,95,0,1782360389.7941055
48,143840,0,normal,3444,0,1782360389.796078
48,143841,0,normal,395,0,1782360389.7979937
48,143842,0,normal,1951,0,1782360389.8000882
48,143843,0,normal,2822,0,1782360389.8020868
48,143844,0,normal,2333,0,1782360389.8039849
48,143845,0,normal,2572,0,1782360389.8060942
48,143846,0,normal,2495,0,1782360389.8080826
48,143847,0,normal,411,0,1782360389.8099937
48,143848,0,normal,955,2,1782360389.8120944
48,143849,0,normal,816,2,1782360389.814085
48,143850,0,normal,606,0,1782360389.8159869
48,143851,0,normal,1758,0,1782360389.8180954
